NA	NA	95715	NA	16	
NA	NA	23419	NA	16	
NA	NA	350	258584	12	
NA	NA	19453	NA	18	
NA	NA	36334	659356	20	
NA	NA	1969	338271	18	
NA	NA	8453	1215782	18	
NA	NA	20815	NA	14	
NA	NA	18199	NA	14	
NA	NA	42728	1558	20	
NA	NA	46729	825838	20	
NA	NA	112919	NA	10	
NA	NA	56044	1517239	14	
NA	NA	87667	183777	10	
NA	NA	7872	217929	18	
NA	NA	13	674204	16	
NA	NA	39059	1953542	16	
NA	NA	9008	569585	16	
NA	NA	102158	212164	14	
NA	NA	20728	45687	18	
NA	NA	140107	NA	10	
NA	NA	93233	NA	18	
NA	NA	3318	NA	18	
NA	NA	7255	NA	12	
NA	NA	17189	28137	10	
NA	NA	15227	739995	16	
NA	NA	29785	130483	16	
NA	NA	4656	NA	16	
NA	NA	22795	104357	14	
NA	NA	44600	NA	16	
NA	NA	20533	NA	8	
NA	NA	57535	38862	24	
NA	NA	12317	54836	16	
NA	NA	105650	NA	18	
NA	NA	62885	NA	16	
NA	NA	8823	518041	14	
NA	NA	91102	233816	14	
NA	NA	48960	36077	14	
NA	NA	21134	344294	20	
NA	NA	14562	NA	14	
NA	NA	7190	NA	16	
NA	NA	10129	NA	16	
NA	NA	27855	NA	16	
NA	NA	35225	121761	10	
NA	NA	31192	NA	22	
NA	NA	89494	NA	10	
NA	NA	48562	64821	8	
NA	NA	60258	NA	14	
NA	NA	62779	NA	20	
NA	NA	945	2051323	22	
NA	NA	68286	143997	16	
NA	NA	54654	200775	16	
NA	NA	23614	NA	14	
NA	NA	2955	7955	16	
NA	NA	23001	NA	14	
NA	NA	9199	90698	16	
NA	NA	51692	NA	16	
NA	NA	4966	NA	14	
NA	NA	29494	NA	18	
NA	NA	15211	397269	14	
NA	NA	58701	1206646	22	
NA	NA	12163	NA	14	
NA	NA	91170	NA	12	
NA	NA	19984	519238	12	
NA	NA	25772	44932	20	
NA	NA	28338	NA	16	
NA	NA	51365	46727	20	
NA	NA	12787	850999	14	
NA	NA	49606	NA	12	
NA	NA	4754	471273	14	
NA	NA	6120	96809	16	
NA	NA	2513	NA	8	
NA	NA	29780	NA	16	
NA	NA	2924	242027	12	
NA	NA	12272	NA	20	
NA	NA	7594	NA	16	
NA	NA	3268	NA	20	
NA	NA	22411	NA	18	
NA	NA	3309	NA	14	
NA	NA	26400	1599359	18	
NA	NA	145591	921272	18	
NA	NA	64655	1775737	14	
NA	NA	2157	940436	12	
NA	NA	2669	NA	16	
NA	NA	129171	NA	14	
NA	NA	154213	471107	14	
NA	NA	9022	842558	16	
NA	NA	15264	NA	14	
NA	NA	78703	1858338	14	
NA	NA	100803	NA	14	
NA	NA	13571	40705	20	
NA	NA	44091	NA	18	
NA	NA	12877	NA	14	
NA	NA	113899	2816	18	
NA	NA	9362	NA	10	
NA	NA	20775	NA	16	
NA	NA	4473	397582	14	
NA	NA	32222	NA	14	
NA	NA	13935	294478	16	
NA	NA	19416	NA	18	
NA	NA	19122	NA	18	
NA	NA	39954	251298	20	
NA	NA	21979	827808	18	
NA	NA	25343	287578	18	
NA	NA	5387	18336	14	
NA	NA	2343	NA	20	
NA	NA	94476	NA	14	
NA	NA	4962	4241	18	
